,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Total Assets,"236,495,000","219,295,000","204,522,000","198,825,000"
Current Assets,"61,806,000","61,897,000","59,664,000","57,689,000"
"Cash, Cash Equivalents & Short Term Investments","9,465,000","7,722,000","6,756,000","6,867,000"
Cash And Cash Equivalents,"9,465,000","7,722,000","6,756,000","6,867,000"
Receivables,"6,284,000","6,283,000","5,614,000","5,835,000"
Accounts receivable,"6,284,000","6,283,000","5,614,000","5,835,000"
Inventory,"44,435,000","44,269,000","43,783,000","43,046,000"
Prepaid Assets,"1,622,000","3,623,000","3,511,000","1,941,000"
Total non-current assets,"174,689,000","157,398,000","144,858,000","141,136,000"
Net PPE,"127,049,000","111,395,000","114,818,000","114,178,000"
Gross PPE,"216,869,000","198,570,000","197,857,000","191,129,000"
Properties,0,0,0,0
Land And Improvements,"24,619,000","24,526,000","25,298,000","24,801,000"
Buildings And Improvements,"105,674,000","101,006,000","101,155,000","98,547,000"
Machinery Furniture Equipment,"60,984,000","56,804,000","55,082,000","51,843,000"
Other Properties,"21,841,000","12,760,000","12,703,000","11,637,000"
Construction in Progress,"3,751,000","3,474,000","3,619,000","4,301,000"
Leases,0,"12,760,000","12,703,000","11,637,000"
Accumulated Depreciation,"-89,820,000","-87,175,000","-83,039,000","-76,951,000"
Goodwill And Other Intangible Assets,"31,073,000","31,181,000","18,242,000","17,037,000"
Goodwill,"31,073,000","31,181,000","18,242,000","17,037,000"
Other Non Current Assets,"16,567,000","14,822,000","11,798,000","9,921,000"
Total Liabilities Net Minority Interest,"154,943,000","139,661,000","123,700,000","118,290,000"
Current Liabilities,"77,790,000","77,477,000","78,521,000","66,928,000"
Payables And Accrued Expenses,"63,090,000","63,736,000","63,105,000","59,086,000"
Payables,"50,292,000","50,467,000","49,810,000","45,170,000"
Accounts Payable,"46,973,000","47,060,000","46,092,000","41,433,000"
Total Tax Payable,"3,319,000","3,407,000","3,718,000","3,737,000"
Income Tax Payable,"280,000","428,000","645,000","921,000"
Current Accrued Expenses,"12,798,000","13,269,000","13,295,000","13,916,000"
Pension & Other Post Retirement Benefit Plans Current,"4,469,000","3,979,000","3,737,000","3,922,000"
Current Debt And Capital Lease Obligation,"8,241,000","7,830,000","9,662,000","3,920,000"
Current Debt,"5,937,000","7,101,000","8,995,000","3,355,000"
Other Current Borrowings,"5,937,000","7,101,000","8,995,000","3,355,000"
Current Capital Lease Obligation,"2,304,000","729,000","667,000","565,000"
Current Deferred Liabilities,"1,990,000","1,932,000","2,017,000",-
Current Deferred Revenue,"1,990,000","1,932,000","2,017,000",-
Total Non Current Liabilities Net Minority Interest,"77,153,000","62,184,000","45,179,000","51,362,000"
Long Term Debt And Capital Lease Obligation,"64,192,000","50,203,000","36,825,000","42,018,000"
Long Term Debt,"43,714,000","43,520,000","30,045,000","36,015,000"
Long Term Capital Lease Obligation,"20,478,000","6,683,000","6,780,000","6,003,000"
Non Current Deferred Liabilities,"12,961,000","11,981,000","8,354,000","9,344,000"
Non Current Deferred Taxes Liabilities,"12,961,000","11,981,000","8,354,000","9,344,000"
Total Equity Gross Minority Interest,"81,552,000","79,634,000","80,822,000","80,535,000"
Stockholders' Equity,"74,669,000","72,496,000","77,869,000","77,798,000"
Capital Stock,"284,000","288,000","295,000","305,000"
Common Stock,"284,000","288,000","295,000","305,000"
Additional Paid in Capital,"3,247,000","2,965,000","2,648,000","2,371,000"
Retained Earnings,"83,943,000","80,785,000","85,107,000","89,354,000"
Gains Losses Not Affecting Retained Earnings,"-12,805,000","-11,542,000","-10,181,000","-14,232,000"
Minority Interest,"6,883,000","7,138,000","2,953,000","2,737,000"
Total Capitalization,"118,383,000","116,016,000","107,914,000","113,813,000"
Common Stock Equity,"74,669,000","72,496,000","77,869,000","77,798,000"
Capital Lease Obligations,"22,782,000","7,412,000","7,447,000","6,568,000"
Net Tangible Assets,"43,596,000","41,315,000","59,627,000","60,761,000"
Working Capital,"-15,984,000","-15,580,000","-18,857,000","-9,239,000"
Invested Capital,"124,320,000","123,117,000","116,909,000","117,168,000"
Tangible Book Value,"43,596,000","41,315,000","59,627,000","60,761,000"
Total Debt,"72,433,000","58,033,000","46,487,000","45,938,000"
Net Debt,"40,186,000","42,899,000","32,284,000","32,503,000"
Share Issued,"2,800,000","2,900,000","2,952,000","3,048,000"
Ordinary Shares Number,"2,800,000","2,900,000","2,952,000","3,048,000"
