,3/31/2020,3/31/2019,3/31/2018,3/31/2017
Total Assets,"1,216,462","1,054,346","786,375","550,414"
Current Assets,"635,863","677,197","494,271","326,958"
"Cash, Cash Equivalents & Short Term Investments","443,116","491,698","362,249","229,948"
Cash And Cash Equivalents,"192,341","121,021","42,975","39,040"
Other Short Term Investments,"250,775","370,677","319,274","190,908"
Receivables,"84,650","90,809","70,010","54,055"
Accounts receivable,"84,650","90,809","70,010","54,055"
Gross Accounts Receivable,"85,852","91,849","70,330","54,337"
Allowance For Doubtful Accounts Receivable,"-1,202","-1,040",-320,-282
Inventory,"90,088","80,942","50,204","34,931"
Raw Materials,"31,411","24,468","16,481","9,784"
Work in Process,"35,008","35,195","23,179","16,504"
Finished Goods,"23,669","21,279","10,544","8,643"
Prepaid Assets,"18,009","13,748","11,808","8,024"
Total non-current assets,"580,599","377,149","292,104","223,456"
Net PPE,"164,931","145,005","117,167","87,777"
Gross PPE,"223,212","184,705","145,026","107,729"
Properties,0,0,0,0
Land And Improvements,"7,179","7,262","7,680","4,046"
Buildings And Improvements,"100,176","86,705","63,700","10,900"
Machinery Furniture Equipment,"86,236","70,602","50,891","31,888"
Other Properties,-,-,-,"16,784"
Construction in Progress,"15,075","17,946","19,850","9,257"
Leases,"14,546","2,190","2,905","34,854"
Accumulated Depreciation,"-58,281","-39,700","-27,859","-19,952"
Goodwill And Other Intangible Assets,"46,882","47,809","52,513","45,527"
Goodwill,"31,969","32,601","35,808","31,045"
Other Intangible Assets,"14,913","15,208","16,705","14,482"
Investments And Advances,"207,795","21,718","37,502","47,143"
Investment in Financial Assets,-,"21,718","37,502","47,143"
Non Current Deferred Assets,"43,336","77,502","70,746","34,723"
Non Current Deferred Taxes Assets,"43,336","77,502","70,746","34,723"
Other Non Current Assets,"117,655","85,115","14,176","8,286"
Total Liabilities Net Minority Interest,"150,996","117,456","96,851","98,343"
Current Liabilities,"131,885","105,998","84,682","69,617"
Payables And Accrued Expenses,"73,790","55,407","38,301","34,316"
Payables,"54,415","44,447","28,127","23,800"
Accounts Payable,"32,774","32,185","23,565","20,620"
Total Tax Payable,"21,641","12,262","4,562","3,180"
Current Accrued Expenses,"19,375","10,960","10,174","10,516"
Current Provisions,"1,818","1,272","1,081",717
Pension & Other Post Retirement Benefit Plans Current,"32,273","32,926","30,330","23,290"
Current Debt And Capital Lease Obligation,-,-,-,799
Current Capital Lease Obligation,-,-,0,799
Current Deferred Liabilities,"19,147","16,393","14,970","10,495"
Current Deferred Revenue,"19,147","16,393","14,970","10,495"
Other Current Liabilities,"4,857",-,-,-
Total Non Current Liabilities Net Minority Interest,"19,111","11,458","12,169","28,726"
Long Term Debt And Capital Lease Obligation,-,-,0,"15,539"
Long Term Capital Lease Obligation,-,-,0,"15,539"
Non Current Deferred Liabilities,806,822,903,783
Non Current Deferred Taxes Liabilities,806,822,903,783
Other Non Current Liabilities,"18,305","10,636","11,266","12,404"
Total Equity Gross Minority Interest,"1,065,466","936,890","689,524","452,071"
Stockholders' Equity,"1,065,466","936,890","689,524","452,071"
Capital Stock,451,451,444,437
Preferred Stock,0,0,0,0
Common Stock,451,451,444,437
Additional Paid in Capital,"739,133","690,507","619,905","565,962"
Retained Earnings,"602,482","399,473","140,457","-46,959"
Treasury Stock,"265,411","138,852","67,078","46,763"
Gains Losses Not Affecting Retained Earnings,"-11,189","-14,689","-4,204","-20,606"
Total Capitalization,"1,065,466","936,890","689,524","452,071"
Common Stock Equity,"1,065,466","936,890","689,524","452,071"
Capital Lease Obligations,-,-,0,"16,338"
Net Tangible Assets,"1,018,584","889,081","637,011","406,544"
Working Capital,"503,978","571,199","409,589","257,341"
Invested Capital,"1,065,466","936,890","689,524","452,071"
Tangible Book Value,"1,018,584","889,081","637,011","406,544"
Total Debt,-,-,0,"16,338"
Share Issued,"47,542","47,026","46,101","45,249"
Ordinary Shares Number,"45,009","45,123","44,375","43,673"
Treasury Shares Number,"2,533","1,903","1,725","1,576"
