,Unnamed: 0,As of Date: 8/17/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,1.58T,1.38T,972.91B,920.22B,859.28B,932.29B
1,Enterprise Value 3,1.58T,1.40T,981.09B,936.35B,876.28B,951.87B
2,Trailing P/E,120.98,131.81,84.73,81.87,72.00,79.03
3,Forward P/E 1,106.38,128.21,66.23,58.14,44.84,58.82
4,PEG Ratio (5 yr expected) 1,2.17,2.97,1.50,1.32,1.02,1.32
5,Price/Sales (ttm),4.96,4.70,3.50,3.50,3.46,3.93
6,Price/Book (mrq),21.39,21.18,15.68,16.28,16.19,19.32
7,Enterprise Value/Revenue 3,4.91,15.71,13.00,10.71,12.52,15.01
8,Enterprise Value/EBITDA 6,38.77,112.89,107.26,87.69,102.00,112.33
