,Unnamed: 0,As of Date: 9/16/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,69.05B,67.97B,53.16B,79.86B,74.09B,74.85B
1,Enterprise Value 3,,,,,,
2,Trailing P/E,15.24,10.72,7.35,10.27,8.69,8.51
3,Forward P/E 1,8.63,13.62,7.02,9.53,8.13,8.73
4,PEG Ratio (5 yr expected) 1,1.46,2.96,1.53,,10.17,10.92
5,Price/Sales (ttm),1.99,2.22,1.74,2.78,2.48,2.46
6,Price/Book (mrq),0.88,0.84,0.67,0.99,0.93,0.93
7,Enterprise Value/Revenue 3,,,,,,
8,Enterprise Value/EBITDA 6,,,,,,
